Titel, Referentiedatasoort[Waarden],
"Referentiedatasoort:AANBIEDINGDETAILSTATUS","Klasse,Klasse:VERA-Aanbiedingen/VERA 4.3.0+260116.28,Woonruimteverdeling,
Bericht,Klasse:WRV-Aanbiedingen/VERA 4.3.0+260116.28,WRV"
"Referentiedatasoort:AANBIEDINGSTATUS","Klasse,Klasse:VERA-Aanbiedingen/VERA 4.3.0+260116.28,Woonruimteverdeling,
Bericht,Klasse:WRV-Aanbiedingen/VERA 4.3.0+260116.28,WRV"
"Referentiedatasoort:AANGEMERKTHUURTOESLAG","Klasse,Klasse:VERA-Eenheden/VERA 4.3.0+260116.28,Vastgoed,
Bericht,Klasse:BVG-Eenheden/VERA 4.3.0+260116.28,BVG
Bericht,Klasse:VHE-Eenheden/VERA 4.3.0+260116.28,VHE
Bericht,Klasse:WRV-Eenheden/VERA 4.3.0+260116.28,WRV
Bericht,Klasse:WRV-Publicaties/VERA 4.3.0+260116.28,WRV"
"Referentiedatasoort:AANVULLENDEDOELGROEP","Klasse,Klasse:VERA-Eenheden/VERA 4.3.0+260116.28,Vastgoed,
Klasse,Klasse:VERA-Toewijzingen/VERA 4.3.0+260116.28,Woonruimteverdeling,
Bericht,Klasse:BVG-Eenheden/VERA 4.3.0+260116.28,BVG
Bericht,Klasse:VHE-Eenheden/VERA 4.3.0+260116.28,VHE
Bericht,Klasse:WRV-Eenheden/VERA 4.3.0+260116.28,WRV
Bericht,Klasse:WRV-Publicaties/VERA 4.3.0+260116.28,WRV
Bericht,Klasse:WRV-Toewijzingen/VERA 4.3.0+260116.28,WRV"
"Referentiedatasoort:ACCOUNTSTATUS","Klasse,Klasse:VERA-Accounts/VERA 4.3.0+260116.28,Relaties,
Bericht,Klasse:BRG-Relaties/VERA 4.3.0+260116.28,BRG
Bericht,Klasse:WRV-Relaties/VERA 4.3.0+260116.28,WRV"
"Referentiedatasoort:ADRESSOORT","Klasse,Klasse:VERA-Adressen/VERA 4.3.0+260116.28,Vastgoed,
Klasse,Klasse:VERA-BuitenlandsAdressen/VERA 4.3.0+260116.28,Vastgoed,
Klasse,Klasse:VERA-Eenheidadressen/VERA 4.3.0+260116.28,Vastgoed,
Klasse,Klasse:VERA-Postadressen/VERA 4.3.0+260116.28,Vastgoed,
Bericht,Klasse:BRG-Relaties/VERA 4.3.0+260116.28,BRG
Bericht,Klasse:BVG-Eenheden/VERA 4.3.0+260116.28,BVG
Bericht,Klasse:KMT-Kwaliteitsmetingsverzoeken/VERA 4.3.0+260116.28,KMT
Bericht,Klasse:KMT-Onderzoeksopdrachten/VERA 4.3.0+260116.28,KMT
Bericht,Klasse:OHD-AfspraakOpties/VERA 4.3.0+260116.28,OHD
Bericht,Klasse:OHD-Afspraken/VERA 4.3.0+260116.28,OHD
Bericht,Klasse:OHD-CollectiefObjecten/VERA 4.3.0+260116.28,OHD
Bericht,Klasse:OHD-Onderhoudsorders/VERA 4.3.0+260116.28,OHD
Bericht,Klasse:VHE-Eenheden/VERA 4.3.0+260116.28,VHE
Bericht,Klasse:VHE-Huuropzeggingen/VERA 4.3.0+260116.28,VHE
Bericht,Klasse:WRV-Eenheden/VERA 4.3.0+260116.28,WRV
Bericht,Klasse:WRV-Kandidaten/VERA 4.3.0+260116.28,WRV
Bericht,Klasse:WRV-Overeenkomstkoppelingen/VERA 4.3.0+260116.28,WRV
Bericht,Klasse:WRV-Puntenberekeningen/VERA 4.3.0+260116.28,WRV
Bericht,Klasse:WRV-Relaties/VERA 4.3.0+260116.28,WRV
Bericht,Klasse:WRV-Sancties/VERA 4.3.0+260116.28,WRV"
"Referentiedatasoort:AFLETTERSTATUS","Klasse,Klasse:VERA-Boekingen/VERA 4.3.0+260116.28,Financien,
Bericht,Klasse:BFG-Boekingen/VERA 4.3.0+260116.28,BFG"
"Referentiedatasoort:AFREKENWIJZESOORT","Klasse,Klasse:VERA-Onderhoudsorders/VERA 4.3.0+260116.28,Onderhoud,
Klasse,Klasse:VERA-Projectorders/VERA 4.3.0+260116.28,Projectontwikkeling,
Bericht,Klasse:OHD-Onderhoudsorders/VERA 4.3.0+260116.28,OHD"
"Referentiedatasoort:AFSPRAAKSTATUS","Klasse,Klasse:VERA-Afspraken/VERA 4.3.0+260116.28,Relaties,
Bericht,Klasse:OHD-Afspraken/VERA 4.3.0+260116.28,OHD
Bericht,Klasse:OHD-Onderhoudsorders/VERA 4.3.0+260116.28,OHD
Bericht,Klasse:VHE-Huuropzeggingen/VERA 4.3.0+260116.28,VHE"
"Referentiedatasoort:AFSPRAAKVERZOEKSOORT","Klasse,Klasse:VERA-Afspraakverzoeken/VERA 4.3.0+260116.28,Relaties,
Bericht,Klasse:VHE-Eenheden/VERA 4.3.0+260116.28,VHE"
